task,alpha,release,start,finish,deadline,response,waiting,tardiness,miss,utility
PIR,0.5,10500.0,10500.0,10501.0,10700.0,1.0,0.0,0.0,0,1.0
Button,0.5,10500.0,10501.0,10502.0,10700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,10600.0,10600.0,10602.0,10800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,10800.0,10800.0,10802.0,11000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,11000.0,11000.0,11002.0,11200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,11000.0,11002.0,11003.0,11200.0,3.0,2.0,0.0,0,1.0
Button,0.5,11000.0,11003.0,11004.0,11200.0,4.0,3.0,0.0,0,1.0
Ultra,0.5,11200.0,11200.0,11202.0,11400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,11400.0,11400.0,11402.0,11600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,11500.0,11500.0,11501.0,11700.0,1.0,0.0,0.0,0,1.0
Button,0.5,11500.0,11501.0,11502.0,11700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,11600.0,11600.0,11602.0,11800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,11800.0,11800.0,11802.0,12000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,12000.0,12000.0,12002.0,12200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,12000.0,12002.0,12003.0,12200.0,3.0,2.0,0.0,0,1.0
Button,0.5,12000.0,12003.0,12004.0,12200.0,4.0,3.0,0.0,0,1.0
Sound,0.5,12000.0,12004.0,12008.0,14000.0,8.0,4.0,0.0,0,1.0
Ultra,0.5,12200.0,12200.0,12202.0,12400.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,12400.0,12400.0,12402.0,12600.0,2.0,0.0,0.0,0,1.0
PIR,0.5,12500.0,12500.0,12501.0,12700.0,1.0,0.0,0.0,0,1.0
Button,0.5,12500.0,12501.0,12502.0,12700.0,2.0,1.0,0.0,0,1.0
Ultra,0.5,12600.0,12600.0,12602.0,12800.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,12800.0,12800.0,12802.0,13000.0,2.0,0.0,0.0,0,1.0
Ultra,0.5,13000.0,13000.0,13002.0,13200.0,2.0,0.0,0.0,0,1.0
PIR,0.5,13000.0,13002.0,13003.0,13200.0,3.0,2.0,0.0,0,1.0
Button,0.5,13000.0,13003.0,13004.0,13200.0,4.0,3.0,0.0,0,1.0
